text,font_size,bold,italic,x0,y0,x1,y1,page
T,30.0,0,0,88.99222564697266,147.2666015625,107.31742095947266,180.4892578125,0
THE KEYS OF THE CHEST,16.875,0,0,195.24600219726562,106.46246337890625,416.7492980957031,125.15020751953125,0
almost,15.0,0,0,119.32035064697266,160.63330078125,159.3228302001953,177.24462890625,0
"always, for snow seldom lies on it, and the",15.0,0,0,76.9921875,192.88330078125,332.7999267578125,209.49462890625,0
that its much,15.0,0,0,76.9921875,242.38330078125,154.4971923828125,258.99462890625,0
grass spreads from month to month uncovered,15.0,0,0,76.9921875,274.63330078125,355.2872009277344,291.24462890625,0
"and untrodden. It runs westward—that is,",15.0,0,0,76.9921875,306.88330078125,325.70721435546875,323.49462890625,0
"curtain intervenes,",15.0,0,0,76.9921875,356.38330078125,187.79721069335938,372.99462890625,0
"curved round the end of it, and prolonged in",15.0,0,0,76.9921875,388.63330078125,341.5321960449219,405.24462890625,0
embankments,15.0,0,0,76.9921875,438.13330078125,160.31959533691406,454.74462890625,0
"of most simple construction, with scarcely a",15.0,0,0,76.9921875,470.38330078125,341.544921875,486.99462890625,0
fold to complicate the sweep of their smooth,15.0,0,0,76.9921875,502.63330078125,344.877197265625,519.24462890625,0
"green slopes, and the outline of their ridge",15.0,0,0,76.9921875,534.88330078125,330.2799072265625,551.49462890625,0
against the sky undulates as softly as young,15.0,0,0,76.9921875,567.13330078125,339.05718994140625,583.74462890625,0
hand looking,15.0,0,0,76.9921875,616.63330078125,155.7421875,633.24462890625,0
westward—it is suddenly broken by a sharp,15.0,0,0,76.9921875,648.88330078125,340.2872009277344,665.49462890625,0
"dip down and up again, making a gap like",15.0,0,0,76.9921875,681.13330078125,328.20989990234375,697.74462890625,0
an inverted Gothic arch. And this is called,15.0,0,0,76.9921875,72.13330078125,329.4331970214844,88.74462890625,1
by everybody,15.0,0,0,76.9921875,104.38330078125,162.80718994140625,120.99462890625,1
the Nick of Time,15.0,0,1,162.80850219726562,104.38330078125,260.7112121582031,120.99462890625,1
. I once asked the reason of a gossoon who,15.0,0,0,260.71875,104.38330078125,517.3237915039062,120.99462890625,1
what else would they be callin’ it?” Nor,15.0,0,0,76.9921875,153.88330078125,315.3880615234375,170.49462890625,1
heightened if,15.0,0,0,76.9921875,235.63330078125,155.72731018066406,252.24462890625,1
one notices its single visible sign of human,15.0,0,0,76.9921875,267.88330078125,335.7421875,284.49462890625,1
"handiwork. This is a road-track, now all but",15.0,0,0,76.9921875,300.13330078125,339.5915222167969,316.74462890625,1
"quite grassed over, leading into the valley",15.0,0,0,76.9921875,332.38330078125,326.762451171875,348.99462890625,1
"from its open end, where the Clonmoragh",15.0,0,0,76.9921875,364.63330078125,327.3721923828125,381.24462890625,1
"A rust-eaten, handleless shovel, and the",15.0,0,0,76.9921875,446.38330078125,314.0347595214844,462.99462890625,1
was abandoned on,15.0,0,0,76.9921875,495.88330078125,187.7971954345703,512.49462890625,1
"a misty morning in April, more than fifty",15.0,0,0,76.9921875,528.13330078125,322.8099365234375,544.74462890625,1
springs ago; but the track itself is now,15.0,0,0,76.9921875,560.38330078125,305.7297058105469,576.99462890625,1
been thrown clattering down.,15.0,0,0,76.9921875,642.13330078125,252.79220581054688,658.74462890625,1
