text,font_size,bold,italic,x0,y0,x1,y1,page
Sample Team,24.0,0,0,71.52755737304688,665.8392333984375,219.4398193359375,697.0872192382812,0
Prepared By:,24.0,1,0,71.52755737304688,630.805419921875,217.30381774902344,662.0534057617188,0
sample-files.com,21.0,0,0,363.7452392578125,666.2651977539062,528.2388305664062,693.607177734375,0
Fillable Form,72.0,1,0,68.89083862304688,164.35586547851562,526.378662109375,254.64385986328125,0
PDF,72.0,1,0,228.79318237304688,254.3558807373047,366.4571533203125,344.6438903808594,0
Website:,24.0,1,0,363.7452392578125,630.805419921875,465.57745361328125,662.0534057617188,0
Full Name:,24.0,1,0,59.527557373046875,130.64205932617188,177.1277618408203,161.8900604248047,1
Email:,24.0,1,0,59.527557373046875,184.732421875,126.9676742553711,215.9804229736328,1
Address:,24.0,1,0,59.527557373046875,238.8683319091797,160.83175659179688,270.1163330078125,1
Personal Information,31.994998931884766,1,0,59.527557373046875,55.87977981567383,391.82318115234375,99.45109558105469,1
This sample PDF file is provided by,10.994999885559082,0,1,58.452247619628906,782.2798461914062,232.844482421875,793.2748413085938,1
Sample-Files.com,10.994999885559082,0,1,232.85067749023438,782.2798461914062,320.61492919921875,793.2748413085938,1
. Visit us for more sample files and resource.,10.994999885559082,0,1,320.6241149902344,782.2798461914062,536.8198852539062,793.2748413085938,1
Gender:,24.0,1,0,59.527557373046875,302.76129150390625,156.37628173828125,334.00927734375,1
Male,24.0,1,0,99.16644287109375,355.41131591796875,154.0545196533203,386.6593017578125,1
Female,24.0,1,0,265.3324890136719,355.41131591796875,348.61260986328125,386.6593017578125,1
Newsletter Subscription:,24.0,1,0,59.527557373046875,414.061279296875,342.4401550292969,445.30926513671875,1
Comments:,24.0,1,0,58.393653869628906,472.71124267578125,191.13792419433594,503.9592590332031,1
Terms and Conditions:,24.0,1,0,58.393653869628906,621.260498046875,315.17022705078125,652.5084838867188,1
Please read and agree before submission.,21.0,0,0,58.393653869628906,659.486572265625,453.97222900390625,686.8285522460938,1
I agree to the terms and conditions.,24.0,0,0,119.1379623413086,698.9569091796875,505.8747253417969,730.2048950195312,1
