text,font_size,bold,italic,x0,y0,x1,y1,page
SYLLABUS,18.0,1,0,262.489990234375,53.70001220703125,342.8993225097656,71.70001220703125,0
FIRST,12.0,1,0,271.7300109863281,74.39996337890625,299.7033996582031,86.39996337890625,0
YEAR,12.0,1,0,302.45001220703125,74.39996337890625,332.3028869628906,86.39996337890625,0
CHY1001: Engineering Chemistry [2 1 2 4],11.039999961853027,1,0,48.0,102.25997924804688,238.22586059570312,113.29998016357422,0
liquid;,10.689434051513672,0,0,497.1400146484375,196.22000122070312,525.8516235351562,207.25999450683594,0
apparatus;,10.689434051513672,0,0,76.34400177001953,223.10000610351562,124.03986358642578,234.13999938964844,0
References:,11.039999961853027,1,0,48.0,276.7699890136719,104.1558609008789,287.80999755859375,0
1.,9.725622177124023,0,0,83.42400360107422,291.0199890136719,90.6213607788086,300.97998046875,0
2.,9.725622177124023,0,0,83.42400360107422,304.4599914550781,90.6213607788086,314.41998291015625,0
3.,9.725622177124023,0,0,83.42400360107422,317.8999938964844,90.6213607788086,327.8599853515625,0
4.,9.725622177124023,0,0,83.54399871826172,331.3399963378906,90.7413558959961,341.29998779296875,0
"Marcel Dekker, New York.",11.039999961853027,0,0,83.54399871826172,357.40997314453125,202.10586547851562,368.4499816894531,0
6.,11.039999961853027,0,0,83.54399871826172,370.8499755859375,94.43985748291016,381.8899841308594,0
https://nptel.ac.in/courses/122/101/122101001/#,11.039999961853027,0,0,93.98400115966797,370.8499755859375,320.1279602050781,381.8899841308594,0
MAS1001: Calculus and Matrices [2 1 0 3],11.039999961853027,1,0,48.0,397.6099853515625,238.3458709716797,408.6499938964844,0
"Eigenvectors of a matrix, Cayley-Hamilton theorem.",11.039999961853027,0,0,76.34400177001953,478.2699890136719,309.6258544921875,489.30999755859375,0
References:,11.039999961853027,1,0,48.0,491.7099914550781,104.1558609008789,502.75,0
1.,9.843483924865723,0,0,81.38400268554688,505.9599914550781,88.75979614257812,515.9199829101562,0
2.,9.843483924865723,0,0,81.38400268554688,519.280029296875,88.75979614257812,529.239990234375,0
Publishing House. 2005.,11.039999961853027,0,0,117.37999725341797,531.909912109375,224.90586853027344,542.949951171875,0
3.,9.843483924865723,0,0,81.38400268554688,546.1600341796875,88.75979614257812,556.1199951171875,0
References,11.039999961853027,1,0,48.0,773.7359619140625,101.15985870361328,784.7760009765625,0
